method,,split,weight,time
Letter,2,imp,0.1,0:04:14
Letter,2,imp,1.0,0:03:48
Letter,2,imp,10.0,0:03:51
Letter,2,imp,100.0,0:03:28
Letter,3,corr,0.0,0:03:52
Letter,3,corr,0.3,0:03:50
Letter,3,corr,0.6,0:03:09
Letter,3,corr,1.0,0:03:29
Letter,3,imp,0.1,0:03:18
Letter,3,imp,1.0,0:03:21
Letter,3,imp,10.0,0:03:59
Letter,3,imp,100.0,0:03:53
Letter,4,corr,0.0,0:04:03
Letter,4,corr,0.3,0:03:36
Letter,4,corr,0.6,0:04:06
Letter,4,corr,1.0,0:03:34
Letter,4,imp,0.1,0:03:49
Letter,4,imp,1.0,0:03:55
Letter,4,imp,10.0,0:03:57
Letter,4,imp,100.0,0:03:52
Radar,0,corr,0.0,1:17:51
Radar,0,corr,0.3,1:18:26
Radar,0,corr,0.6,1:18:32
Radar,0,corr,1.0,1:18:26
Radar,0,imp,0.1,1:19:17
Radar,0,imp,1.0,1:18:48
Radar,0,imp,10.0,1:20:27
Radar,0,imp,100.0,1:21:07
Radar,1,corr,0.0,1:22:14
Radar,1,corr,0.3,1:17:02
Radar,1,corr,0.6,1:17:16
Radar,1,corr,1.0,1:17:50
Radar,1,imp,0.1,1:16:55
Radar,1,imp,1.0,1:18:50
Radar,1,imp,10.0,1:16:56
Radar,1,imp,100.0,1:19:30
Radar,2,corr,0.0,1:18:10
Radar,2,corr,0.3,1:19:25
Radar,2,corr,0.6,1:19:16
Radar,2,corr,1.0,1:18:35
Radar,2,imp,0.1,1:21:39
Radar,2,imp,1.0,1:18:04
Radar,2,imp,10.0,1:18:24
Radar,2,imp,100.0,1:19:03
Radar,3,corr,0.0,1:16:02
Radar,3,corr,0.3,1:16:45
Radar,3,corr,0.6,1:20:13
Radar,3,corr,1.0,1:16:56
Radar,3,imp,0.1,1:18:59
Radar,3,imp,1.0,1:19:25
Radar,3,imp,10.0,1:16:52
Radar,3,imp,100.0,1:21:28
Radar,4,corr,0.0,1:19:05
Radar,4,corr,0.3,1:19:44
Radar,4,corr,0.6,1:17:12
Radar,4,corr,1.0,1:18:25
Radar,4,imp,0.1,1:16:52
Radar,4,imp,1.0,1:17:16
Radar,4,imp,10.0,1:17:19
Radar,4,imp,100.0,1:18:53
Realsim,0,corr,0.0,1:08:02
Realsim,0,corr,0.3,1:26:10
Realsim,0,corr,0.6,1:07:08
Realsim,0,corr,1.0,1:07:18
Realsim,0,imp,0.1,1:13:03
Realsim,0,imp,1.0,1:25:31
Realsim,0,imp,10.0,1:19:07
Realsim,0,imp,100.0,1:06:34
Realsim,1,corr,0.0,1:19:11
Realsim,1,corr,0.3,1:16:55
Realsim,1,corr,0.6,1:13:41
Realsim,1,corr,1.0,1:19:03
Realsim,1,imp,0.1,1:17:00
Realsim,1,imp,1.0,1:10:47
Realsim,1,imp,10.0,1:15:50
Realsim,1,imp,100.0,1:18:03
Realsim,2,corr,0.0,1:13:10
Realsim,2,corr,0.3,1:14:53
Realsim,2,corr,0.6,1:31:08
Realsim,2,corr,1.0,1:34:21
Realsim,2,imp,0.1,1:36:16
Realsim,2,imp,1.0,1:37:55
Realsim,2,imp,10.0,1:34:26
Realsim,2,imp,100.0,1:11:48
Realsim,3,corr,0.0,1:38:10
Realsim,3,corr,0.3,1:34:30
Realsim,3,corr,0.6,1:36:45
Realsim,3,corr,1.0,1:34:35
Realsim,3,imp,0.1,1:38:50
Realsim,3,imp,1.0,1:32:13
Realsim,3,imp,10.0,1:41:57
Realsim,3,imp,100.0,1:41:20
Realsim,4,corr,0.0,1:25:12
Realsim,4,corr,0.3,1:26:45
Realsim,4,corr,0.6,1:24:21
Realsim,4,corr,1.0,1:35:18
Realsim,4,imp,0.1,1:27:41
Realsim,4,imp,1.0,1:22:07
Realsim,4,imp,10.0,1:26:35
Realsim,4,imp,100.0,1:25:24
MSD,0,corr,0.0,2:05:29
MSD,0,corr,0.3,2:05:38
MSD,0,corr,0.6,2:04:51
MSD,0,corr,1.0,2:04:34
MSD,0,imp,0.1,2:06:43
MSD,0,imp,1.0,2:05:35
MSD,0,imp,10.0,2:05:39
MSD,0,imp,100.0,2:05:36
MSD,1,corr,0.0,2:04:09
MSD,1,corr,0.3,2:04:18
MSD,1,corr,0.6,2:04:56
MSD,1,corr,1.0,2:07:05
MSD,1,imp,0.1,2:05:19
MSD,1,imp,1.0,2:06:01
MSD,1,imp,10.0,2:05:55
MSD,1,imp,100.0,2:06:05
MSD,2,corr,0.0,2:05:55
MSD,2,corr,0.3,2:04:15
MSD,2,corr,0.6,2:05:42
MSD,2,corr,1.0,2:05:23
MSD,2,imp,0.1,2:05:13
MSD,2,imp,1.0,2:03:54
MSD,2,imp,10.0,2:04:04
MSD,2,imp,100.0,2:05:02
MSD,3,corr,0.0,2:04:53
MSD,3,corr,0.3,2:04:17
MSD,3,corr,0.6,2:04:55
MSD,3,corr,1.0,2:04:42
MSD,3,imp,0.1,2:03:29
MSD,3,imp,1.0,2:05:11
MSD,3,imp,10.0,2:05:04
MSD,3,imp,100.0,2:04:52
MSD,4,corr,0.0,2:04:08
MSD,4,corr,0.3,2:04:35
MSD,4,corr,0.6,1:14:20
MSD,4,corr,1.0,1:23:49
MSD,4,imp,0.1,1:23:19
MSD,4,imp,1.0,2:04:28
MSD,4,imp,10.0,2:04:49
MSD,4,imp,100.0,1:12:00
